"iso_alpha_3_code","year_mid","parameter","0.1","0.5","0.9","estimate_version"
"AFG",1990,"pm_mean",0.442935279660147,0.442935279660147,0.442935279660147,"estimates_12-19-22"
"AFG",1990,"mmr_mean",1422.15815982592,1422.15815982592,1422.15815982592,"estimates_12-19-22"
"AFG",1990,"births",567000,567000,567000,"estimates_12-19-22"
"AFG",1990,"hiv_related_indirect_mmr",4.46480261790286e-08,4.46480261790286e-08,4.46480261790286e-08,"estimates_12-19-22"
"AFG",1990,"hiv_related_indirect_maternal_deaths",0.0253154308435092,0.0253154308435092,0.0253154308435092,"estimates_12-19-22"
"AFG",1990,"hiv_related_indirect_percentage",0.000521614904307934,0.00032403923810507,0.00021965338794756,"estimates_12-19-22"
"AFG",1990,"lifetime_risk",0.0612530416454122,0.0986007115782739,0.145458714545616,"estimates_12-19-22"
"AFG",1990,"lifetime_risk_1_in",16,10,7,"estimates_12-19-22"
"AFG",1991,"mmr",863.909966646634,1392.78583834822,2013.28306466333,"estimates_12-19-22"
"AFG",1991,"pm",0.28015977920999,0.451670414769092,0.652893195656349,"estimates_12-19-22"
"AFG",1991,"maternal_deaths",4803.33941455529,7743.88926121608,11193.8538395281,"estimates_12-19-22"
"AFG",1991,"mmr_rate",0.00198699292328726,0.0032034074282009,0.00463055104872566,"estimates_12-19-22"
"AFG",1991,"pm_mean",0.461574463211811,0.461574463211811,0.461574463211811,"estimates_12-19-22"
"AFG",1991,"mmr_mean",1423.32628988606,1423.32628988606,1423.32628988606,"estimates_12-19-22"
"AFG",1991,"births",556000,556000,556000,"estimates_12-19-22"
"AFG",1991,"hiv_related_indirect_mmr",8.12682241826979e-08,8.12682241826979e-08,8.12682241826979e-08,"estimates_12-19-22"
"AFG",1991,"hiv_related_indirect_maternal_deaths",0.0451851326455801,0.0451851326455801,0.0451851326455801,"estimates_12-19-22"
"AFG",1991,"hiv_related_indirect_percentage",0.000940702472714256,0.000583494044418764,0.000403660198653129,"estimates_12-19-22"
"AFG",1991,"lifetime_risk",0.0620311224020971,0.100005871160211,0.144559286309614,"estimates_12-19-22"
"AFG",1991,"lifetime_risk_1_in",16,10,7,"estimates_12-19-22"
"AFG",1992,"mmr",908.007068796145,1451.59396292047,2080.58485330534,"estimates_12-19-22"
"AFG",1992,"pm",0.308874973757692,0.493785855432086,0.707748446074728,"estimates_12-19-22"
"AFG",1992,"maternal_deaths",5257.36092832968,8404.72904530954,12046.5863006379,"estimates_12-19-22"
"AFG",1992,"mmr_rate",0.00217921696511075,0.00348382551100914,0.00499340364793282,"estimates_12-19-22"
"AFG",1992,"pm_mean",0.503469758421502,0.503469758421502,0.503469758421502,"estimates_12-19-22"
"AFG",1992,"mmr_mean",1480.06196167399,1480.06196167399,1480.06196167399,"estimates_12-19-22"
"AFG",1992,"births",579000,579000,579000,"estimates_12-19-22"
"AFG",1992,"hiv_related_indirect_mmr",1.17793697289572e-07,1.17793697289572e-07,1.17793697289572e-07,"estimates_12-19-22"
"AFG",1992,"hiv_related_indirect_maternal_deaths",0.068202550730662,0.068202550730662,0.068202550730662,"estimates_12-19-22"
"AFG",1992,"hiv_related_indirect_percentage",0.00129727731575642,0.000811478280417905,0.000566156660721804,"estimates_12-19-22"
"AFG",1992,"lifetime_risk",0.0683498003673922,0.109268045359679,0.156615035562864,"estimates_12-19-22"
"AFG",1992,"lifetime_risk_1_in",15,9,6,"estimates_12-19-22"
"AFG",1993,"mmr",866.24806432162,1368.81614123223,1955.76612406755,"estimates_12-19-22"
"AFG",1993,"pm",0.329056407562716,0.519963900179645,0.742925036516542,"estimates_12-19-22"
"AFG",1993,"maternal_deaths",6046.41148896491,9554.33666580097,13651.2475459915,"estimates_12-19-22"
"AFG",1993,"mmr_rate",0.00207899535437189,0.00328515873895735,0.00469383869776211,"estimates_12-19-22"
"AFG",1993,"pm_mean",0.530648448086301,0.530648448086301,0.530648448086301,"estimates_12-19-22"
"AFG",1993,"mmr_mean",1396.94344320713,1396.94344320713,1396.94344320713,"estimates_12-19-22"
"AFG",1993,"births",698000,698000,698000,"estimates_12-19-22"
"AFG",1993,"hiv_related_indirect_mmr",1.02559272667053e-07,1.02559272667053e-07,1.02559272667053e-07,"estimates_12-19-22"
"AFG",1993,"hiv_related_indirect_maternal_deaths",0.0715863723216027,0.0715863723216027,0.0715863723216027,"estimates_12-19-22"
"AFG",1993,"hiv_related_indirect_percentage",0.00118394807320429,0.000749255284020299,0.000524394360884791,"estimates_12-19-22"
"AFG",1993,"lifetime_risk",0.0658932077000279,0.104122237049961,0.148769975638311,"estimates_12-19-22"
"AFG",1993,"lifetime_risk_1_in",15,10,7,"estimates_12-19-22"
"AFG",1994,"mmr",869.056804133975,1375.09072464694,1946.55263798104,"estimates_12-19-22"
"AFG",1994,"pm",0.344202509141964,0.544624557876831,0.770960308903688,"estimates_12-19-22"
"AFG",1994,"maternal_deaths",6856.85818461706,10849.4658174643,15358.3003136704,"estimates_12-19-22"
"AFG",1994,"mmr_rate",0.00208573632992154,0.00330021773915265,0.00467172633115449,"estimates_12-19-22"
"AFG",1994,"pm_mean",0.553262458640828,0.553262458640828,0.553262458640828,"estimates_12-19-22"
"AFG",1994,"mmr_mean",1396.90005558732,1396.90005558732,1396.90005558732,"estimates_12-19-22"
"AFG",1994,"births",789000,789000,789000,"estimates_12-19-22"
"AFG",1994,"hiv_related_indirect_mmr",1.20968644826399e-07,1.20968644826399e-07,1.20968644826399e-07,"estimates_12-19-22"
"AFG",1994,"hiv_related_indirect_maternal_deaths",0.0954442607680289,0.0954442607680289,0.0954442607680289,"estimates_12-19-22"
